"date","estimate","lower","upper"
2021-01-02,0.878590572302607,0.715161891742564,0.997017461888248
2021-01-03,0.878603479776458,0.715289270773835,0.99704571325671
2021-01-04,0.878604599802518,0.715256931494044,0.997086061961426
2021-01-05,0.878593673200349,0.715354944553629,0.997111944627775
2021-01-06,0.878570448235917,0.715352615774666,0.997145612383061
2021-01-07,0.878534681315183,0.71525202630903,0.997169716742758
2021-01-08,0.87848613780436,0.715329220115269,0.997201144467276
2021-01-09,0.878424592987915,0.715220436162212,0.997210422271944
2021-01-10,0.8783498331663,0.715192428048464,0.997251217834231
2021-01-11,0.878261656887691,0.715245200479703,0.99726654795005
2021-01-12,0.878159876302278,0.715196785281161,0.99727810892501
2021-01-13,0.87804431862398,0.715163848638855,0.997300691321845
2021-01-14,0.877914827682684,0.715147172558412,0.997323722313036
2021-01-15,0.877771265549634,0.715189850765973,0.997355389991852
2021-01-16,0.877613514219045,0.715034413665202,0.997361699947179
2021-01-17,0.877441477329915,0.714722908901392,0.997382182679006
2021-01-18,0.877255081913448,0.714561511366044,0.997396689406654
2021-01-19,0.877054280153456,0.714403870196713,0.99743398535219
2021-01-20,0.876839051149785,0.714212014260741,0.997472633335682
2021-01-21,0.876609402677943,0.713933573821309,0.997463293691493
2021-01-22,0.876365372941049,0.713565848891845,0.997480732863758
2021-01-23,0.876107032312172,0.713207269961416,0.997494346186915
2021-01-24,0.875834485065296,0.712901902315215,0.997480747674424
2021-01-25,0.875547871091439,0.712634347178645,0.997492375065512
2021-01-26,0.875247367593524,0.712272457037496,0.997510151801512
2021-01-27,0.874933190750642,0.71184469604628,0.997294427948348
2021-01-28,0.874605597341133,0.711572349256715,0.997283400520636
2021-01-29,0.874264886315867,0.710824131122313,0.997250196452577
2021-01-30,0.87391140031965,0.710497806574053,0.997242429397974
2021-01-31,0.87354552717001,0.710043996651245,0.997268376618081
2021-02-01,0.873167701317751,0.709489461964425,0.997263899932303
2021-02-02,0.872778405329156,0.708867360898326,0.997249902854844
2021-02-03,0.872378171440184,0.70829314524033,0.997248464434672
2021-02-04,0.871967583232034,0.707763443297066,0.997248424579353
2021-02-05,0.871547277460222,0.707052857514135,0.997239857845551
2021-02-06,0.871117946034712,0.706413445546929,0.997203849703467
2021-02-07,0.870680338101054,0.705698087196665,0.997191661356197
2021-02-08,0.870235262120659,0.704385055667166,0.997200895301779
2021-02-09,0.869783587802724,0.7036259222548,0.997171450065529
2021-02-10,0.869326247709486,0.702803130830178,0.997135382095128
2021-02-11,0.868864238344262,0.701872929563205,0.997113927668531
2021-02-12,0.868398620536841,0.70113372256301,0.997083557250729
2021-02-13,0.867930518957983,0.70013156256204,0.997054613482776
2021-02-14,0.867461120617966,0.699303612570941,0.997005472060094
2021-02-15,0.866991672228367,0.698263546257051,0.996959184327093
2021-02-16,0.86652347632933,0.697151770422,0.996949346343165
2021-02-17,0.866057886106496,0.696103478666364,0.996913065932781
2021-02-18,0.865596298844028,0.69509769552719,0.99688503200025
2021-02-19,0.865140147984242,0.694002500573432,0.996877323457157
2021-02-20,0.864690893791222,0.693023694398324,0.996874122552535
2021-02-21,0.864250012645141,0.69198932470851,0.996865748658479
2021-02-22,0.863818985024668,0.690997051170853,0.996829778287317
2021-02-23,0.863399282265315,0.690208035260207,0.996809192327924
2021-02-24,0.86299235221086,0.689277979155667,0.996798091918499
2021-02-25,0.862599603903855,0.688780388806259,0.996769251642298
2021-02-26,0.862222391492537,0.688192828511654,0.996744515821086
2021-02-27,0.861861997569412,0.687516746156441,0.996719702526866
2021-02-28,0.861519616205103,0.68686591228597,0.996707949307178
2021-03-01,0.86119633600029,0.686493905065185,0.996684985793913
2021-03-02,0.86089312354506,0.685830679701773,0.996627591049663
2021-03-03,0.860610807740865,0.685496747912121,0.996599462347063
2021-03-04,0.860350065495827,0.685105614370447,0.996583819614054
2021-03-05,0.860111409339155,0.684911924357132,0.996588579802204
2021-03-06,0.85989517750483,0.68469449347224,0.99659204447884
2021-03-07,0.859701526998082,0.68432707874203,0.996543833634656
2021-03-08,0.859530430071134,0.684061955116077,0.996544316877299
2021-03-09,0.859381674392585,0.684176681057025,0.996531574676327
2021-03-10,0.859254867002359,0.684271218169556,0.996515005229882
2021-03-11,0.859149441918033,0.684461447283793,0.996527838864384
2021-03-12,0.859064671027,0.684546902376984,0.996503896823511
2021-03-13,0.85899967769941,0.684500013218216,0.996462415410217
2021-03-14,0.858953452430741,0.684597570847635,0.996443318932048
2021-03-15,0.858924869806325,0.684623057705919,0.996403943284848
2021-03-16,0.858912706186486,0.685024319022581,0.996379386256676
2021-03-17,0.858915657710325,0.685425006341967,0.996378032482254
2021-03-18,0.858932358429458,0.685771521705984,0.996354196186892
2021-03-19,0.85896139850922,0.686082475254843,0.996354690348554
2021-03-20,0.859001342406997,0.686593124705724,0.996321026697035
2021-03-21,0.859050746772077,0.686714949860155,0.99633600005542
2021-03-22,0.859108177605931,0.686978235009938,0.996344356521526
2021-03-23,0.859172226094054,0.687129314493298,0.996326371378029
2021-03-24,0.859241522536579,0.68734777070852,0.996346470989687
2021-03-25,0.859314747950549,0.687808213031146,0.99637828233885
2021-03-26,0.859390643125902,0.68799507547517,0.996381280122482
2021-03-27,0.859468015121023,0.687979207548192,0.996383842660486
2021-03-28,0.859545741342264,0.688002235786635,0.996384238206925
2021-03-29,0.859622771455107,0.688054613881052,0.996374517034487
2021-03-30,0.859698127429171,0.68826436155528,0.996428553714864
2021-03-31,0.859770902035816,0.688385775447056,0.996434609332172
