"date","estimate","lower","upper"
2021-01-02,0.951137788218661,0.82420424654642,0.999989106707316
2021-01-03,0.951404869455267,0.82493585337664,0.999989925886353
2021-01-04,0.951664761351947,0.825695687541939,0.999990845204711
2021-01-05,0.951917609973266,0.82649402047131,0.999991548757268
2021-01-06,0.952163594083044,0.827141373268164,0.999992316255073
2021-01-07,0.952402908645061,0.827571492430961,0.999993104700136
2021-01-08,0.952635751491909,0.828073999550926,0.999993616447448
2021-01-09,0.952862315112851,0.828769181791717,0.999993977794094
2021-01-10,0.953082783317028,0.829174428166382,0.999994590665888
2021-01-11,0.953297331196708,0.82969407570733,0.999994947975141
2021-01-12,0.953506126658869,0.830212430155355,0.999995449868883
2021-01-13,0.953709332383736,0.830487738078326,0.999995869801049
2021-01-14,0.953907107762854,0.830875213307054,0.999996262237381
2021-01-15,0.954099610771964,0.831319809696177,0.999996679039366
2021-01-16,0.954286999811258,0.83183073362732,0.999996956629872
2021-01-17,0.954469435468822,0.832201801017301,0.999997195829419
2021-01-18,0.954647082101181,0.832532825475777,0.999997373354461
2021-01-19,0.954820109135563,0.832973247721519,0.99999758604687
2021-01-20,0.954988692044826,0.833348672601312,0.999997802083202
2021-01-21,0.955153012972058,0.833757027935201,0.999997890487925
2021-01-22,0.955313260965624,0.834212194822746,0.999998010346994
2021-01-23,0.955469631743247,0.8344509810235,0.999998101873498
2021-01-24,0.955622326866639,0.834688422119315,0.999998220941855
2021-01-25,0.955771552197918,0.835177068198511,0.999998308044178
2021-01-26,0.955917515528367,0.835382481016667,0.999998359971631
2021-01-27,0.956060423306137,0.835670699265454,0.999998441894425
2021-01-28,0.956200476427679,0.835869474445218,0.999998454489956
2021-01-29,0.956337865098951,0.836000454555123,0.999998573858408
2021-01-30,0.956472762840791,0.836144001792891,0.999998645327136
2021-01-31,0.956605319836482,0.836569544457621,0.999998724845535
2021-02-01,0.956735655994569,0.836840731873723,0.999998804366244
2021-02-02,0.956863854273061,0.837232708254659,0.999998923595709
2021-02-03,0.956989954911742,0.837547837237253,0.999999024813962
2021-02-04,0.957113951208796,0.838008094485111,0.999999040089149
2021-02-05,0.9572357873653,0.838382158777751,0.999999050585034
2021-02-06,0.957355358739504,0.838991311351537,0.999999081270774
2021-02-07,0.957472514634889,0.839335533552501,0.999999103062959
2021-02-08,0.957587063516458,0.839394733255819,0.999999104554213
2021-02-09,0.957698780329022,0.839745595513505,0.999999134149156
2021-02-10,0.9578074154009,0.840130748538497,0.999999140097604
2021-02-11,0.957912704284874,0.840515155532122,0.999999126215103
2021-02-12,0.958014377846955,0.84091322858075,0.999999161579216
2021-02-13,0.958112171975152,0.841216962839919,0.999999170761193
2021-02-14,0.958205836415954,0.841559587477348,0.999999165263055
2021-02-15,0.958295142397374,0.841917506502931,0.999999176027439
2021-02-16,0.958379888821002,0.842231007837534,0.999999194449707
2021-02-17,0.9584599069003,0.842390850355482,0.999999192056586
2021-02-18,0.958535063210669,0.842689299765506,0.99999918922048
2021-02-19,0.958605261210916,0.842866619172265,0.999999156274266
2021-02-20,0.958670441385735,0.843225905379207,0.999999172631077
2021-02-21,0.958730580224843,0.843359300561963,0.99999918737622
2021-02-22,0.95878568828199,0.843631950494026,0.999999131765346
2021-02-23,0.95883580754333,0.843782574706986,0.999999133548327
2021-02-24,0.95888100828576,0.843869279936755,0.999999143703441
2021-02-25,0.958921385532738,0.844139644600539,0.999999108702416
2021-02-26,0.95895705513035,0.844340415953235,0.999999091385757
2021-02-27,0.958988149381631,0.844435110006736,0.999999057641784
2021-02-28,0.95901481210335,0.844574999978908,0.999999041599083
2021-03-01,0.95903719292269,0.844606615760161,0.999999055673118
2021-03-02,0.959055440640914,0.844789182120704,0.999999010389478
2021-03-03,0.95906969559136,0.844843971623148,0.999998971509671
2021-03-04,0.959080081120251,0.844740357067155,0.999998952346611
2021-03-05,0.959086694579823,0.844794648528446,0.999998957956231
2021-03-06,0.959089598459496,0.844868348476311,0.999998933418332
2021-03-07,0.959088812406806,0.844883125053439,0.999998908327688
2021-03-08,0.959084306863778,0.845074513078039,0.999998880543838
2021-03-09,0.959075998884465,0.845086495089664,0.999998869799478
2021-03-10,0.959063750464319,0.845140545492,0.999998826112626
2021-03-11,0.959047369467971,0.845174269963855,0.999998795944471
2021-03-12,0.959026613033848,0.845226707543727,0.999998772569192
2021-03-13,0.959001193176832,0.845422869898155,0.999998776216225
2021-03-14,0.958970784197978,0.845381245145285,0.999998726803358
2021-03-15,0.958935031431607,0.845207668340092,0.999998721390166
2021-03-16,0.958893560810347,0.845157416651412,0.999998699796857
2021-03-17,0.958845988709782,0.845106171813073,0.999998655427777
2021-03-18,0.95879193154642,0.845090928625256,0.999998630616176
2021-03-19,0.958731014636233,0.845198294152214,0.999998579208729
2021-03-20,0.95866287986316,0.844956934227755,0.999998563623005
2021-03-21,0.958587191761185,0.844657012856551,0.999998548342666
2021-03-22,0.958503641712019,0.844467691866746,0.999998488165424
2021-03-23,0.958411950143155,0.844485158606716,0.999998462167067
2021-03-24,0.95831186687637,0.844322396111263,0.999998401682656
2021-03-25,0.958203170050515,0.844231087479257,0.999998408396184
2021-03-26,0.958085664211575,0.843886169547834,0.999998345634606
2021-03-27,0.957959178152847,0.843691922526007,0.999998317925133
2021-03-28,0.957823562913117,0.843367658650547,0.999998338233929
2021-03-29,0.957678690085785,0.843044567212237,0.999998361280493
2021-03-30,0.957524450350424,0.842844624581077,0.999998312033391
2021-03-31,0.957360751967784,0.842387747778262,0.999998318071172
