"date","estimate","lower","upper"
2020-04-02,0.91615570893621,0.462130426408356,1
2020-04-03,0.939690581018562,0.533032545525723,1
2020-04-04,0.958616832849616,0.55098424699547,1
2020-04-05,0.97242272766044,0.59100455854925,1
2020-04-06,0.981338707462154,0.640649687292,1
2020-04-07,0.986389548128229,0.712149104883322,1
2020-04-08,0.989326201890643,0.857087472357775,1
2020-04-09,0.992201791666869,0.962673572906639,1
2020-04-10,0.996019422273587,0.996686589504018,1
2020-04-11,0.998539102390485,0.999952802783667,1
2020-04-12,0.998984524875874,0.99999996614521,1
2020-04-13,0.999072772444973,0.999999999996041,1
2020-04-14,0.999116994698317,1,1
2020-04-15,0.999144572300447,1,1
2020-04-16,0.999160206239875,1,1
2020-04-17,0.999165584817449,1,1
2020-04-18,0.999162022565117,1,1
2020-04-19,0.999150883099462,1,1
2020-04-20,0.999132682591809,1,1
2020-04-21,0.99909881839146,1,1
2020-04-22,0.998916125026188,1,1
2020-04-23,0.997697656493276,0.99999898817792,1
2020-04-24,0.996700032204214,0.999814224110501,1
2020-04-25,0.998058787840496,0.999999989592682,1
2020-04-26,0.999158610208147,1,1
2020-04-27,0.999401942221257,1,1
2020-04-28,0.999481850046508,1,1
2020-04-29,0.999532340362802,1,1
2020-04-30,0.999564162873526,1,1
2020-05-01,0.999577416151778,1,1
2020-05-02,0.999571939343134,1,1
2020-05-03,0.999548072087611,1,1
2020-05-04,0.999506496085751,1,1
2020-05-05,0.999443972443994,1,1
2020-05-06,0.999303630210387,0.999999999999202,1
2020-05-07,0.998575799053139,0.999999999866942,1
2020-05-08,0.996646262985155,0.999885678081568,1
2020-05-09,0.996136319236067,0.98745940773791,1
2020-05-10,0.99780374872797,0.999823941700149,1
2020-05-11,0.998829931862714,0.99995940838244,1
2020-05-12,0.999147882786491,0.999989700993365,1
2020-05-13,0.999213191820571,0.999997510555057,1
2020-05-14,0.999157162970402,0.999976288340058,1
2020-05-15,0.998932467510134,0.999813923377594,1
2020-05-16,0.998405504097377,0.997987060430775,1
2020-05-17,0.997252492315197,0.988283222361949,0.999999999979498
2020-05-18,0.993845702149272,0.958070525521919,0.999999816679201
2020-05-19,0.980660831719984,0.896484722488058,0.999910152226636
2020-05-20,0.938562301443608,0.805385107929579,0.995385383783932
2020-05-21,0.848443707232231,0.694806114367555,0.952917568141141
2020-05-22,0.718822376941727,0.588606736407999,0.829849746982621
2020-05-23,0.584592842028161,0.496482559957523,0.668494372632985
2020-05-24,0.476753433209975,0.427367408603484,0.545023095555282
2020-05-25,0.403918353233415,0.365907278277793,0.457711608403467
2020-05-26,0.362026449391304,0.327085812824698,0.422837697462051
2020-05-27,0.344516719968877,0.312373009862837,0.396500337575417
2020-05-28,0.345906180750819,0.316265510908668,0.392187356314718
2020-05-29,0.362063055474473,0.332611982253505,0.403116782424618
2020-05-30,0.389484362561852,0.358097576652258,0.42543737540993
2020-05-31,0.424613968721199,0.388240832718599,0.463769711684412
2020-06-01,0.463592103794866,0.417353295330535,0.509413040136487
2020-06-02,0.502460300098324,0.442520650592504,0.555748535966982
2020-06-03,0.537607681815511,0.465512196271798,0.593448904795788
2020-06-04,0.566162997056923,0.485549478927704,0.623371813668311
2020-06-05,0.586129939035815,0.50031242634126,0.643996401299623
2020-06-06,0.596261573924798,0.509973806909032,0.654198512930916
2020-06-07,0.595814697003955,0.513204327494875,0.651259725185827
2020-06-08,0.584343402199339,0.508621392822925,0.639410011201255
2020-06-09,0.561637252879039,0.49526332143102,0.615562038364922
2020-06-10,0.527843978819191,0.467477823751411,0.578876074447334
2020-06-11,0.483747595436366,0.43530773350371,0.529370638772302
2020-06-12,0.431084778758955,0.395195197057898,0.46919921017971
2020-06-13,0.372702229032499,0.339768201483914,0.408279274456703
2020-06-14,0.312378723088866,0.272955321278722,0.368809401503846
