"date","estimate","lower","upper"
2020-02-12,0.0712128926041656,0.0572551086093999,0.086201575916066
2020-02-13,0.0694113076387313,0.0558936405044552,0.0839325223189811
2020-02-14,0.0676418933362507,0.0545443398214798,0.0816780284595649
2020-02-15,0.0659167586408476,0.0532094601125456,0.0795004005880696
2020-02-16,0.064247834603649,0.0519204215918433,0.0773946459019278
2020-02-17,0.0626467306606293,0.0507062436004535,0.0752929348452628
2020-02-18,0.0611246090487142,0.0495724101616155,0.0733302804613236
2020-02-19,0.0596920813400405,0.0485003613682678,0.071494241022944
2020-02-20,0.0583591297891013,0.0475087319499989,0.0697738782849033
2020-02-21,0.0571350547294768,0.0465911688049578,0.0681792674660415
2020-02-22,0.0560284477213486,0.045763220208321,0.0667328041700033
2020-02-23,0.0550471886362209,0.0450371210848755,0.06543458503684
2020-02-24,0.0541984634629998,0.0444009510266192,0.0643155777179384
2020-02-25,0.0534887984075483,0.0438720310094349,0.0633839815855303
2020-02-26,0.0529241048946234,0.0434664408656636,0.0626081992371102
2020-02-27,0.0525097294043294,0.0431510399047032,0.0620312591315186
2020-02-28,0.0522505017030134,0.0429775886159015,0.0616491012558801
2020-02-29,0.0521507749637595,0.0429138858536132,0.0614752826317515
2020-03-01,0.052214451507901,0.0429969096944033,0.0615048745287856
2020-03-02,0.0524449884269232,0.0431980551447892,0.061753610924199
2020-03-03,0.0528453781567506,0.0435452927798479,0.0622364449162094
2020-03-04,0.0534181001718127,0.0440275686310554,0.0629021575196584
2020-03-05,0.0541650413470762,0.0446415329904056,0.0637799836638802
2020-03-06,0.0550873842050469,0.0454034386194829,0.0648646580501991
2020-03-07,0.0561854642159087,0.0463059159339207,0.0661528691314274
2020-03-08,0.0574585995274679,0.0473448433183025,0.0676613297813394
2020-03-09,0.0589048989107979,0.0485442173095368,0.0693555733446386
2020-03-10,0.0605210562183287,0.0498588381300493,0.0712662828091113
2020-03-11,0.0623021421151415,0.0513358253729233,0.0733657891301934
2020-03-12,0.0642414060638982,0.0529320464185976,0.075654545476059
2020-03-13,0.0663301032823269,0.0546523594103176,0.0781100912081613
2020-03-14,0.0685573623937548,0.0564865356436655,0.0807274738477519
2020-03-15,0.0709101095115656,0.0584325973576468,0.0834964296301174
2020-03-16,0.073373063342127,0.0604513875256681,0.0864014262522161
2020-03-17,0.0759288134497131,0.062551247467738,0.0893997534232795
2020-03-18,0.0785579901141949,0.0647135132158207,0.0924990360047344
2020-03-19,0.0812395293823046,0.0669327750565516,0.0956553321950449
2020-03-20,0.0839510312639144,0.0691551343479771,0.0988566961689199
2020-03-21,0.0866692029770022,0.0713881091091272,0.102064056299223
2020-03-22,0.0893703732018664,0.0736045275531035,0.105251147621269
2020-03-23,0.0920310579951211,0.0757987923855094,0.108391193965582
2020-03-24,0.0946285548272128,0.0779515075595209,0.111452059214098
2020-03-25,0.0971415385354896,0.0800076048367586,0.114418040073645
2020-03-26,0.0995506320749441,0.08199734257123,0.117250854965851
2020-03-27,0.10183892587589,0.0838827171344339,0.119937493213843
2020-03-28,0.103992422282854,0.0856585342148432,0.122447987456608
2020-03-29,0.106000385697474,0.0873061065929534,0.124805122210231
2020-03-30,0.107855584306909,0.0888437223199077,0.126979829084943
2020-03-31,0.109554415202587,0.0902496375299377,0.128981769903293
2020-04-01,0.111096910813057,0.0915360396326393,0.130782797738937
2020-04-02,0.112486630442592,0.0927073854753478,0.13241067849829
2020-04-03,0.113730445936077,0.0937354467058203,0.133868730439765
2020-04-04,0.114838234778374,0.0946668748037069,0.135160785678803
2020-04-05,0.115822497080823,0.0954650168199323,0.13632356529489
2020-04-06,0.116697914812392,0.0962061591869662,0.137399568998538
2020-04-07,0.117480872303316,0.0968195248775685,0.138343664252752
2020-04-08,0.118188956580216,0.0974044046333035,0.13920526045165
2020-04-09,0.118840454653349,0.0979210529868342,0.139956946246554
2020-04-10,0.119453862692289,0.0984326057183387,0.140728293481346
2020-04-11,0.120047419351081,0.098915608336785,0.141459214477986
2020-04-12,0.120638672602194,0.0994027714184474,0.142202122011446
2020-04-13,0.121244086561752,0.0998838066076055,0.142918894237108
2020-04-14,0.121878692157235,0.100389361976627,0.143685769656759
2020-04-15,0.122555783277235,0.100980982605521,0.144508604893962
2020-04-16,0.123286658369593,0.101575366338384,0.14539318071032
2020-04-17,0.124080406377557,0.102198640785114,0.146345015866664
2020-04-18,0.124943735421647,0.10292138883928,0.147365840973107
2020-04-19,0.125880842690995,0.103699457353697,0.148483060112929
2020-04-20,0.126893324498413,0.104537976866358,0.149677395203206
2020-04-21,0.127980126239375,0.105426643638426,0.150968316699165
2020-04-22,0.129137532914375,0.106364702589571,0.152338821345264
2020-04-23,0.130359201756059,0.107352127865543,0.153789575591006
2020-04-24,0.13163623918177,0.108428145355014,0.15530144241259
2020-04-25,0.132957324622883,0.109517976795278,0.156859685689864
2020-04-26,0.134308883651623,0.110638752068524,0.158471570448473
2020-04-27,0.135675312164795,0.111736665695924,0.160105692304442
2020-04-28,0.137039252175099,0.112820246817272,0.161747242343221
2020-04-29,0.138381918043653,0.113926807507767,0.163359314048596
2020-04-30,0.139683469856249,0.114979113522177,0.164885369090841
2020-05-01,0.140923428243829,0.116017676912449,0.166320633582073
2020-05-02,0.142081122454298,0.116954769590321,0.16773447470155
2020-05-03,0.143136161098911,0.117806620388995,0.169010370566306
2020-05-04,0.144068912924523,0.118539428547876,0.170160154792138
2020-05-05,0.14486098338893,0.11918536115791,0.171107461144945
2020-05-06,0.145495671891662,0.119721349166648,0.171857729704278
